timestamp,protocol,src_ip,dst_ip,packet_length,port,vulnerability,severity,cvss_score,is_malicious
2025-11-01 09:00:00.000,HTTPS,192.168.1.55,192.168.1.68,699,25,None,LOW,0.0,0
2025-11-01 09:00:01.400,ICMP,192.168.1.96,192.168.1.51,429,8080,None,LOW,0.0,0
2025-11-01 09:00:02.800,DNS,192.168.1.36,192.168.1.89,72,445,None,LOW,0.0,0
2025-11-01 09:00:04.200,ARP,192.168.1.114,192.168.1.33,341,53,ARP Spoof,CRITICAL,8.1,1
2025-11-01 09:00:05.600,HTTP,192.168.1.37,192.168.1.78,374,443,None,LOW,0.0,0
2025-11-01 09:00:07.000,HTTP,192.168.1.112,192.168.1.24,221,25,None,LOW,0.0,0
2025-11-01 09:00:08.400,HTTP,192.168.1.14,192.168.1.75,713,3306,None,LOW,0.0,0
2025-11-01 09:00:09.800,TCP,192.168.1.27,192.168.1.25,158,8443,None,LOW,0.0,0
2025-11-01 09:00:11.200,ARP,192.168.1.83,192.168.1.28,176,110,None,LOW,0.0,0
2025-11-01 09:00:12.600,DNS,192.168.1.31,192.168.1.7,109,445,None,LOW,0.0,0
2025-11-01 09:00:14.000,HTTP,192.168.1.110,192.168.1.113,142,445,None,LOW,0.0,0
2025-11-01 09:00:15.400,ICMP,192.168.1.73,192.168.1.36,204,110,None,LOW,0.0,0
2025-11-01 09:00:16.800,TCP,192.168.1.102,192.168.1.10,195,110,None,LOW,0.0,0
2025-11-01 09:00:18.200,HTTPS,192.168.1.81,192.168.1.113,185,3306,None,LOW,0.0,0
2025-11-01 09:00:19.600,HTTPS,192.168.1.83,192.168.1.36,741,80,None,LOW,0.0,0
2025-11-01 09:00:21.000,HTTPS,192.168.1.44,192.168.1.95,1485,445,None,LOW,0.0,0
2025-11-01 09:00:22.400,HTTPS,192.168.1.68,192.168.1.83,52,53,None,LOW,0.0,0
2025-11-01 09:00:23.800,HTTPS,192.168.1.48,192.168.1.18,1444,8443,None,LOW,0.0,0
2025-11-01 09:00:25.200,HTTPS,192.168.1.57,192.168.1.113,549,25,None,LOW,0.0,0
2025-11-01 09:00:26.600,HTTPS,192.168.1.75,192.168.1.6,83,8080,None,LOW,0.0,0
2025-11-01 09:00:28.000,ARP,192.168.1.22,192.168.1.92,164,8443,None,LOW,0.0,0
2025-11-01 09:00:29.400,HTTP,192.168.1.4,192.168.1.7,344,21,None,LOW,0.0,0
2025-11-01 09:00:30.800,HTTPS,192.168.1.81,192.168.1.102,40,25,None,LOW,0.0,0
2025-11-01 09:00:32.200,HTTPS,192.168.1.72,192.168.1.12,220,8443,None,LOW,0.0,0
2025-11-01 09:00:33.600,HTTPS,192.168.1.46,192.168.1.41,459,3389,None,LOW,0.0,0
2025-11-01 09:00:35.000,TCP,192.168.1.59,192.168.1.114,100,80,None,LOW,0.0,0
2025-11-01 09:00:36.400,HTTPS,192.168.1.34,192.168.1.63,41,22,None,LOW,0.0,0
2025-11-01 09:00:37.800,HTTPS,192.168.1.11,192.168.1.98,310,110,None,LOW,0.0,0
2025-11-01 09:00:39.200,ARP,192.168.1.31,192.168.1.25,3463,110,None,LOW,0.0,0
2025-11-01 09:00:40.600,HTTP,192.168.1.11,192.168.1.81,103,25,None,LOW,0.0,0
2025-11-01 09:00:42.000,ARP,192.168.1.120,192.168.1.53,107,53,None,LOW,0.0,0
2025-11-01 09:00:43.400,HTTP,192.168.1.118,192.168.1.33,192,3306,None,LOW,0.0,0
2025-11-01 09:00:44.800,HTTP,192.168.1.56,192.168.1.87,1609,8443,None,LOW,0.0,0
2025-11-01 09:00:46.200,UDP,192.168.1.38,192.168.1.73,40,21,None,LOW,0.0,0
2025-11-01 09:00:47.600,ICMP,192.168.1.117,192.168.1.6,616,80,None,LOW,0.0,0
2025-11-01 09:00:49.000,TCP,192.168.1.21,192.168.1.62,139,110,None,LOW,0.0,0
2025-11-01 09:00:50.400,HTTPS,192.168.1.110,192.168.1.66,154,8080,None,LOW,0.0,0
2025-11-01 09:00:51.800,HTTP,192.168.1.94,192.168.1.102,72,3306,None,LOW,0.0,0
2025-11-01 09:00:53.200,DNS,192.168.1.10,192.168.1.9,181,110,None,LOW,0.0,0
2025-11-01 09:00:54.600,HTTPS,192.168.1.26,192.168.1.67,75,80,None,LOW,0.0,0
2025-11-01 09:00:56.000,HTTP,192.168.1.91,192.168.1.16,127,21,None,LOW,0.0,0
2025-11-01 09:00:57.400,HTTPS,192.168.1.8,192.168.1.89,40,53,None,LOW,0.0,0
2025-11-01 09:00:58.800,HTTP,192.168.1.103,192.168.1.88,40,21,None,LOW,0.0,0
2025-11-01 09:01:00.200,UDP,192.168.1.8,192.168.1.111,366,22,None,LOW,0.0,0
2025-11-01 09:01:01.600,HTTPS,192.168.1.60,192.168.1.93,1112,25,None,LOW,0.0,0
2025-11-01 09:01:03.000,DNS,192.168.1.72,192.168.1.108,11799,25,None,LOW,0.0,0
2025-11-01 09:01:04.400,HTTPS,192.168.1.119,192.168.1.55,742,8080,None,LOW,0.0,0
2025-11-01 09:01:05.800,HTTPS,192.168.1.34,192.168.1.40,131,53,None,LOW,0.0,0
2025-11-01 09:01:07.200,ARP,192.168.1.16,192.168.1.26,40,3306,ARP Spoof,CRITICAL,8.1,1
2025-11-01 09:01:08.600,HTTPS,192.168.1.105,192.168.1.38,467,21,None,LOW,0.0,0
2025-11-01 09:01:10.000,ICMP,192.168.1.13,192.168.1.35,42,21,None,LOW,0.0,0
2025-11-01 09:01:11.400,TCP,192.168.1.87,192.168.1.87,92,110,None,LOW,0.0,0
2025-11-01 09:01:12.800,UDP,192.168.1.76,192.168.1.68,708,53,None,LOW,0.0,0
2025-11-01 09:01:14.200,UDP,192.168.1.91,192.168.1.59,348,445,None,LOW,0.0,0
2025-11-01 09:01:15.600,ARP,192.168.1.22,192.168.1.106,80,443,ARP Spoof,CRITICAL,8.1,1
2025-11-01 09:01:17.000,UDP,192.168.1.96,192.168.1.14,40,445,None,LOW,0.0,0
2025-11-01 09:01:18.400,HTTP,192.168.1.113,192.168.1.117,315,445,Port Scan,MEDIUM,4.0,1
2025-11-01 09:01:19.800,HTTPS,192.168.1.27,192.168.1.120,366,443,Port Scan,MEDIUM,4.0,1
2025-11-01 09:01:21.200,HTTP,192.168.1.64,192.168.1.47,1487,22,None,LOW,0.0,0
2025-11-01 09:01:22.600,HTTPS,192.168.1.2,192.168.1.103,40,22,None,LOW,0.0,0
2025-11-01 09:01:24.000,HTTPS,192.168.1.109,192.168.1.71,281,80,None,LOW,0.0,0
2025-11-01 09:01:25.400,HTTPS,192.168.1.97,192.168.1.72,735,80,None,LOW,0.0,0
2025-11-01 09:01:26.800,TCP,192.168.1.26,192.168.1.42,147,21,None,LOW,0.0,0
2025-11-01 09:01:28.200,HTTPS,192.168.1.92,192.168.1.51,40,25,None,LOW,0.0,0
2025-11-01 09:01:29.600,HTTPS,192.168.1.83,192.168.1.19,80,53,None,LOW,0.0,0
2025-11-01 09:01:31.000,ARP,192.168.1.107,192.168.1.66,255,3389,None,LOW,0.0,0
2025-11-01 09:01:32.400,HTTP,192.168.1.69,192.168.1.47,136,3389,None,LOW,0.0,0
2025-11-01 09:01:33.800,TCP,192.168.1.97,192.168.1.65,352,25,None,LOW,0.0,0
2025-11-01 09:01:35.200,HTTP,192.168.1.84,192.168.1.42,1135,80,None,LOW,0.0,0
2025-11-01 09:01:36.600,ICMP,192.168.1.30,192.168.1.38,151,110,None,LOW,0.0,0
2025-11-01 09:01:38.000,TCP,192.168.1.109,192.168.1.118,1057,445,None,LOW,0.0,0
2025-11-01 09:01:39.400,HTTPS,192.168.1.8,192.168.1.13,212,53,None,LOW,0.0,0
2025-11-01 09:01:40.800,HTTP,192.168.1.38,192.168.1.106,367,3306,None,LOW,0.0,0
2025-11-01 09:01:42.200,TCP,192.168.1.61,192.168.1.44,212,25,None,LOW,0.0,0
2025-11-01 09:01:43.600,DNS,192.168.1.81,192.168.1.24,379,22,None,LOW,0.0,0
2025-11-01 09:01:45.000,DNS,192.168.1.108,192.168.1.96,467,3389,None,LOW,0.0,0
2025-11-01 09:01:46.400,TCP,192.168.1.65,192.168.1.30,528,21,None,LOW,0.0,0
2025-11-01 09:01:47.800,HTTP,192.168.1.67,192.168.1.70,245,8080,None,LOW,0.0,0
2025-11-01 09:01:49.200,HTTPS,192.168.1.46,192.168.1.38,40,8443,None,LOW,0.0,0
2025-11-01 09:01:50.600,HTTP,192.168.1.90,192.168.1.97,500,3306,None,LOW,0.0,0
2025-11-01 09:01:52.000,TCP,192.168.1.95,192.168.1.108,40,3306,None,LOW,0.0,0
2025-11-01 09:01:53.400,ARP,192.168.1.72,192.168.1.119,118,53,None,LOW,0.0,0
2025-11-01 09:01:54.800,HTTPS,192.168.1.43,192.168.1.23,40,53,None,LOW,0.0,0
2025-11-01 09:01:56.200,HTTP,192.168.1.59,192.168.1.74,1878,22,None,LOW,0.0,0
2025-11-01 09:01:57.600,HTTPS,192.168.1.46,192.168.1.57,403,443,None,LOW,0.0,0
2025-11-01 09:01:59.000,HTTPS,192.168.1.72,192.168.1.110,165,25,None,LOW,0.0,0
2025-11-01 09:02:00.400,DNS,192.168.1.35,192.168.1.79,1343,3389,DNS Poisoning,HIGH,7.4,1
2025-11-01 09:02:01.800,ARP,192.168.1.39,192.168.1.23,463,443,None,LOW,0.0,0
2025-11-01 09:02:03.200,UDP,192.168.1.92,192.168.1.120,284,3389,None,LOW,0.0,0
2025-11-01 09:02:04.600,HTTPS,192.168.1.51,192.168.1.36,393,110,None,LOW,0.0,0
2025-11-01 09:02:06.000,HTTP,192.168.1.4,192.168.1.57,154,25,None,LOW,0.0,0
2025-11-01 09:02:07.400,DNS,192.168.1.80,192.168.1.1,55,8443,None,LOW,0.0,0
2025-11-01 09:02:08.800,DNS,192.168.1.77,192.168.1.72,775,25,None,LOW,0.0,0
2025-11-01 09:02:10.200,ARP,192.168.1.84,192.168.1.3,224,21,None,LOW,0.0,0
2025-11-01 09:02:11.600,TCP,192.168.1.51,192.168.1.14,40,445,None,LOW,0.0,0
2025-11-01 09:02:13.000,HTTPS,192.168.1.5,192.168.1.81,449,110,None,LOW,0.0,0
2025-11-01 09:02:14.400,HTTPS,192.168.1.55,192.168.1.34,256,8080,None,LOW,0.0,0
2025-11-01 09:02:15.800,HTTPS,192.168.1.101,192.168.1.111,1881,22,None,LOW,0.0,0
